text,clause_type,risk
"if hoc, acting reasonably, determines that the joint venture proposal notice contains insufficient information to make a reasoned decision in respect of participating in the proposed joint venture, it shall notify the company of the information required to make such decision and thereafter shall have the greater of (i) five (5) business days from the receipt of such information from the company, and (ii) the days remaining in the period specified in section 6.2 to make such decision and deliver or refrain from delivering the hoc jv acceptance notice in accordance with such section 6.2.",Rofr/Rofo/Rofn,Medium Risk
"if the company or any of its subsidiaries decides to seek a joint venture partner to develop, acquire or otherwise earn an interest in any properties including the existing properties, in circumstances where the company's participation in such joint venture is not dependent on the participation of a particular third party as joint venture partner (such as in the case of an earn-in) (each a ""proposed joint venture""), the company shall immediately provide notice to hoc (the ""joint venture proposal notice"") specifying sufficient information regarding the particulars of the proposed joint venture to allow hoc to make a reasoned decision in respect of participating in the proposed joint venture, including to the extent any such terms are determinable at such time: (a) a description of the property in respect of which the proposed joint venture relates, and (b) the terms, including the purchase price, for the proposed joint venture, and if applicable, a true copy of any related term sheet setting forth such terms.",Rofr/Rofo/Rofn,Medium Risk
"hoc shall give notice (an ""acceptance notice"") to the company not later than 5:00 p.m. (denver time) on the tenth business day following the deemed receipt of any rights notice given under paragraph 4.1(c) setting out the number of additional securities, if any, which any of hoc entities intends to subscribe for and purchase and, if applicable, the name and address of hoc entity whose name in which such securities should be registered, provided that if hoc, acting reasonably, determines that it has insufficient information to make such investment decision, hoc shall notify the company of the information required to make such investment decision and thereafter shall have the longer of (i) the remainder of the ten (10) business days set out in the first sentence of this paragraph; or (ii) two (2) business days from the receipt of such additional information to make the investment decision and deliver or refrain from delivering the acceptance notice. notwithstanding the preceding sentence, the rights notice shall be deemed to include sufficient information to make such investment decision if it includes the information specified in items (i) to (iv) of section 4.1(d). if no acceptance notice has been provided to the company within the required time, hoc will be deemed to have elected not to subscribe for or purchase any such additional securities.",Rofr/Rofo/Rofn,Medium Risk
"if the company intends to authorize and/or issue equity securities that give rise to the rights of hoc pursuant to section 4.1(a), the company shall provide notice to hoc (the ""rights notice"") no less than ten (10) business days before the date on which the company intends to issue equity securities giving rise to the rights of hoc in section 4.1(a).",Rofr/Rofo/Rofn,Medium Risk
"if the company issues equity securities in circumstances that would not give rise to the rights of the hoc entities pursuant to section 4.1(a) (the ""non-participating transaction""), then in any concurrent or subsequent transaction which does give rise to the rights of the hoc entities pursuant to section 4.1(a) (the ""participating transaction""), the company shall allow the hoc entities to subscribe for and purchase additional securities in an amount greater than hoc's pro rata interest; provided that in the participating transaction, hoc shall not be entitled to purchase any more than its pro rata interest of the securities sold collectively in the non-participating transaction and the participating transaction.",Rofr/Rofo/Rofn,Medium Risk
"from and after the closing date and until 5:00 pm denver time on the date which is eighty (80) days from the closing date (the ""option expiration date""), hoc shall have the option (the ""option""), at its sole discretion, to subscribe for all, but not less than all, of an additional 4,330,000 shares from the company (the ""additional shares"") at a price of us$3.00 per share, or a total of us$12,990,000.",Rofr/Rofo/Rofn,Medium Risk
"hoc shall have ten (10) business days from delivery of such notice in which to notify the company that it desires to provide all of such financing (the ""financing election"")",Rofr/Rofo/Rofn,Medium Risk
"election. if hoc delivers the financing election, one or more of the hoc entities shall pay the purchase price for, and the company shall issue, additional shares, free and clear of all liens and encumbrances.",Rofr/Rofo/Rofn,Medium Risk
"if hoc does not provide hoc jv acceptance notice to the company within fifteen (15) business days or such shorter period as may be specified in the joint venture proposal notice, of receiving of the joint venture proposal notice, the company may enter into negotiations with any other person regarding the proposed joint venture",Rofr/Rofo/Rofn,Medium Risk
the rights granted to hoc under this article 4 shall terminate and be of no further force or effect if hoc does not exercise option and complete the purchase of the additional shares.,Rofr/Rofo/Rofn,Medium Risk
"subject to the provisions of subsection (g) of this section 4.1 and section 8.2 hereof, if at any time after the closing date, the company proposes to issue or sell equity securities (""additional securities"") other than (i) under any stock option plan, (ii) pursuant to the exercise of options under any stock option plan, (iii) upon the exercise, exchange or conversion of any convertible securities, or (iv) for property other than money, the hoc entities shall have the right to subscribe for and purchase additional securities, at the price at which such additional securities are offered for sale to other purchasers (the ""other purchasers""), up to its pro rata interest (as defined below) prior to giving effect to the issuance or sale of such additional securities",Rofr/Rofo/Rofn,Medium Risk
this agreement may not be assigned by either party except with the prior written consent of the other parties hereto.,Anti-Assignment,High Risk
"in the event hoc exercises the option, the company agrees to use not less than five million u.s. dollars (us$5,000,000) of the proceeds from the subscription of the purchased shares and the additional shares to fund exploration activities (including but not limited to drilling, assaying and staking new claims) on the el aguila project.",Minimum Commitment,High Risk
"the company shall, to the extent and for so long as hoc entities hold at least 14.5% of the shares on a non-diluted basis, upon hoc's request, permit representatives of the hoc entities to have access to the site and any of the premises where the business and operations of the company and its subsidiaries are conducted and access and duplicating rights (and use commercially reasonable efforts to cause persons or firms possessing such documentation or information to give similar access and duplicating rights) to the company and its subsidiaries' books of account and records and such other documents, communications, items and matters, within the knowledge, possession or control of the company, which hoc may reasonably request, at hoc's own cost (other than those it is permitted to examine and make copies of free of charge pursuant to applicable laws) provided that, except to the extent the information can be provided in the necessary course of business of the company, acting reasonably including to provide hoc entities with information to assist the hoc entities and their advisors with the preparation of the financial statements for such hoc entities, nothing herein shall require the company to provide hoc entities with any information which would constitute a material fact with respect to the company which has not been generally disclosed.",Audit Rights,Low Risk
"so long as hoc is entitled to nominate and maintain a director pursuant to this article 5, the company shall indemnify each current and former hoc director and shall maintain director's and officer's liability insurance for the benefit of each such director, with the same rights and benefits as are accorded the directors of the company generally.",Insurance,Low Risk
marketing agreement,Document Name,Low Risk
"each of loop and joint venture company is a ""party""; together they are the ""parties""",Parties,Low Risk
"loop industries, inc.",Parties,Low Risk
"indorama loop technologies, llc",Parties,Low Risk
loop,Parties,Low Risk
joint venture company,Parties,Low Risk
"september __, 2018",Agreement Date,Low Risk
"september __, 2018",Effective Date,Low Risk
this agreement begins on the effective date and shall continue indefinitely unless sooner terminated as provided in this article 5.,Expiration Date,Low Risk
"this agreement shall be governed by and interpreted in accordance with the laws of the state of delaware, united states of america, without reference to conflict-of-laws principles.",Governing Law,Low Risk
"joint venture company shall not, and shall cause each spv and each of their affiliates not to, directly or indirectly, market or sell any loop-branded products or any products produced using licensed subject matter to any person or entity except to authorized customers pursuant to a transferred contract (the ""marketing and sale restriction""); provided that if at any time during the term of this agreement, loop has delivered proposed contract notices that result in transferred contracts having binding purchase and supply obligations for less than [***] of the then existing actual production capacity of a licensed facility (taking into account joint venture company's reasonable forecasts based on customer requirements, seasonal variations, and other factors) in the subsequent three months (the ""[***]""), joint venture company may market and solicit orders for licensed products produced in such licensed facility directly to customers and potential customers and enter into supply contracts for the sale of loop-branded products or any products produced using licensed subject matter produced in such licensed facility with customers without being restricted by the marketing and sale restriction.",No-Solicit Of Customers,Low Risk
"joint venture company shall not, and shall cause each spv and each of their affiliates not to, directly or indirectly, market or sell any loop-branded products or any products produced using licensed subject matter to any person or entity except to authorized customers pursuant to a transferred contract (the ""marketing and sale restriction""); provided that if at any time during the term of this agreement, loop has delivered proposed contract notices that result in transferred contracts having binding purchase and supply obligations for less than [***] of the then existing actual production capacity of a licensed facility (taking into account joint venture company's reasonable forecasts based on customer requirements, seasonal variations, and other factors) in the subsequent three months (the ""[***]""), joint venture company may market and solicit orders for licensed products produced in such licensed facility directly to customers and potential customers and enter into supply contracts for the sale of loop-branded products or any products produced using licensed subject matter produced in such licensed facility with customers without being restricted by the marketing and sale restriction.",Competitive Restriction Exception,Low Risk
"this assignment shall inure to the benefit of, and shall be binding upon, the parties and their respective successors and assigns, but, except as provided in section 3 above, neither party may assign this assignment without the prior written consent of the other party.",Anti-Assignment,High Risk
"this agreement shall inure to the benefit of, and shall be binding upon, the parties and their respective successors and assigns, but neither party may assign this agreement without the prior written consent of the other except to a person into which it has merged or who has otherwise succeeded to all or substantially all of the business and assets of the assignor, and who has assumed in writing or by operation of law its obligations under this agreement.",Anti-Assignment,High Risk
"joint venture company shall not, and shall cause each spv and each of their affiliates not to, directly or indirectly, market or sell any loop-branded products or any products produced using licensed subject matter to any person or entity except to authorized customers pursuant to a transferred contract (the ""marketing and sale restriction""); provided that if at any time during the term of this agreement, loop has delivered proposed contract notices that result in transferred contracts having binding purchase and supply obligations for less than [***] of the then existing actual production capacity of a licensed facility (taking into account joint venture company's reasonable forecasts based on customer requirements, seasonal variations, and other factors) in the subsequent three months (the ""[***]""), joint venture company may market and solicit orders for licensed products produced in such licensed facility directly to customers and potential customers and enter into supply contracts for the sale of loop-branded products or any products produced using licensed subject matter produced in such licensed facility with customers without being restricted by the marketing and sale restriction.",Minimum Commitment,High Risk
"the assignor hereby assigns, transfers, and conveys to and in favor of the assignee all of the assignor's right, title, and interest in, to, and under the transferred contract, together with its related rights, warranties, remedies, powers, and privileges (collectively, the ""assigned rights"").",Ip Ownership Assignment,High Risk
"notwithstanding the foregoing, none of the foregoing limitations of liability set forth in this section 3.1 shall be available to either party with respect to a breach of section 4, confidential information, or for claims to the extent they arise out of a party's gross negligence, fraud, or willful misconduct.",Uncapped Liability,Low Risk
"joint venture company's total cumulative liability to the loop parties with respect to a transferred contract, in all circumstances and regardless of the theory of recovery, shall be limited to the amount of actual, direct, and documented damages the applicable authorized customer actually recovers from the loop parties under the transferred contract based solely on joint venture company's breach of such transferred contract.",Cap On Liability,Low Risk
"in no event will either party be liable to the other under this agreement or otherwise for consequential, special, incidental, exemplary, statutory, or punitive damages arising out of or related to this agreement.",Cap On Liability,Low Risk
master operation and maintenance agreement,Document Name,Low Risk
be,Parties,Low Risk
"diamond state generation partners, llc",Parties,Low Risk
operator,Parties,Low Risk
owner,Parties,Low Risk
bloom energy corporation,Parties,Low Risk
"april 13, 2012",Agreement Date,Low Risk
"the term of this agreement (the ""term"") (a) shall commence on the first day of the warranty period for the first bloom system to achieve commencement of operation and (b) shall, unless terminated earlier under section 4.1 of this agreement or unless extended by mutual agreement of the parties, terminate on the date that is the last day of the warranty period for the last bloom system to achieve commencement of operation.",Effective Date,Low Risk
"the term of this agreement (the ""term"") (a) shall commence on the first day of the warranty period for the first bloom system to achieve commencement of operation and (b) shall, unless terminated earlier under section 4.1 of this agreement or unless extended by mutual agreement of the parties, terminate on the date that is the last day of the warranty period for the last bloom system to achieve commencement of operation.",Expiration Date,Low Risk
this agreement shall be governed by and interpreted in accordance with the laws of the state of new york without regard to conflicts of law principles (other than section 5-1401 of the new york general obligations law).,Governing Law,Low Risk
"this agreement and all of the provisions hereof shall be binding upon and inure to the benefit of the parties and their respective successors and permitted assigns (including by operation of law), but neither this agreement nor any of the rights, interests or obligations hereunder shall be assigned by any party, whether by operation of law or otherwise, without the prior written consent of the other party; provided that either party may collaterally assign its rights under this agreement to any party providing debt or equity financing to such party without the consent of the other party.",Anti-Assignment,High Risk
"during the warranty period, operator shall determine for each full calendar month (the ""efficiency warranty period"") within five (5) business days after the end of such month whether the portfolio has performed at the minimum efficiency level (the ""efficiency warranty""); provided that the efficiency bank shall be utilized to the extent necessary to meet the efficiency warranty.",Minimum Commitment,High Risk
if the minimum efficiency level has,Minimum Commitment,High Risk
"during the warranty period, operator shall determine (i) for each full calendar month (the ""one- month power performance warranty period"") within five (5) business days after the end of such month and (ii) for the most recent look back period (the ""one-year power performance warranty period"", and, together with the one-month power performance warranty period, each a ""power performance warranty period""), whether the bloom systems in the portfolio during such power performance warranty period have delivered to the interconnection point the minimum kwh during such power performance warranty period (the ""power performance warranty"").",Minimum Commitment,High Risk
"sample one-month minimum power product example calculation 2014 assumptions number of active systems 150 nameplate capacity 200kw one-month power performance warranty 85% minimum power product analysis minimum power product 25,500kw",Minimum Commitment,High Risk
"sample one-year minimum power product example calculation 2014 assumptions number of active systems 150 nameplate capacity 200kw one-year power performance warranty 95% one-year minimum power product analysis minimum power product 28,500kw",Minimum Commitment,High Risk
"if such power performance warranty calculation indicates that the actual kwh of the bloom systems was less than the minimum kwh during such power performance warranty period, then operator shall so notify owner in writing of the basis of its determination and owner may make a claim under section 2.5.",Minimum Commitment,High Risk
"not been met during such efficiency warranty period, then operator shall so notify owner in writing of the basis of its determination and owner may make a claim under section 2.5.",Minimum Commitment,High Risk
"operator grants to owner the limited right to use any training materials which are provided under this agreement, and owner agrees that upon termination of this agreement for any reason, owner shall return all training materials, including any copies, to operator.",License Grant,Low Risk
"throughout the term, and thereafter to the extent relevant to calculations necessary for periods prior to the end of the term and subject to any confidentiality obligation owed to any third party and/or any restrictions on the disclosure of information which may be subject to intellectual property rights restricting disclosure: (a) owner shall grant operator access to all data relating to the electricity production of each bloom system, it being understood that it is operator's responsibility to determine the performance of the bloom system, and any other calculations as required under this agreement, and that it is owner's responsibility to handle all accounting and invoicing activities; and (b) owner shall allow operator access to all data from all facility meters.",Post-Termination Services,Low Risk
"notwithstanding anything to the contrary in this agreement and in furtherance of continuing qualification under the qfcp-rc tariff, in the event of the early termination of this agreement pursuant to article 4 hereof, be and operator agree to use commercially reasonable efforts to cooperate with owner to facilitate owner",Post-Termination Services,Low Risk
"entering into a new agreement with a third party operator governing operation and maintenance services to be provided to owner on terms substantially similar to the terms of this agreement, so that such replacement operator shall be deemed a qfcp.",Post-Termination Services,Low Risk
all such records required to be created and maintained pursuant to section 2.12(a) shall be kept available at the operator's office and made available for the owner's inspection upon request at all reasonable times.,Audit Rights,Low Risk
"disbursements in connection therewith) that would otherwise be included in the definition of indemnifiable losses because they result from a reduction in the profits of owner, diamond state generation holdings, llc, or both, and (b) losses or liabilities incurred by the officers, directors, members, managers, partners, shareholders or affiliates of such party (unless on behalf of owner).",Uncapped Liability,Low Risk
"subject always to the maximum liability limitations set forth in the preceding sentence, except for damages specifically provided for in this agreement or in connection with the indemnification for damages awarded to a third party under a third party claim, damages hereunder are limited to direct damages, and in no event shall a party be liable to the other party, and the parties hereby waive claims, for (a) indirect, punitive, special or consequential damages or loss of profits; provided, however, that the loss of profits language set forth in this section 7.1 shall not be interpreted to exclude from indemnifiable losses any claim, demand, suit, loss, liability, damage, obligation, payment, cost or expense (including the cost and expense of any action, suit, proceeding, assessment, judgment, settlement or compromise relating thereto and reasonable attorneys' fees and reasonable",Uncapped Liability,Low Risk
"provided that such limitation of liability shall not apply to any liability that is the result of (i) gross negligence, fraud or willful misconduct of a party, (ii) a third party claim, (iii) the failure to pay the service fees (which amount shall not be included in calculating owner's maximum liability), (iv) a claim of owner against be or operator in the event of any breach, default or misrepresentation of any representation and warranty or covenant set forth in section 8.2(e) or (v) a claim of owner against be or operator under section 2.8.",Uncapped Liability,Low Risk
"subject always to the maximum liability limitations set forth in the preceding sentence, except for damages specifically provided for in this agreement or in connection with the indemnification for damages awarded to a third party under a third party claim, damages hereunder are limited to direct damages, and in no event shall a party be liable to the other party, and the parties hereby waive claims, for (a) indirect, punitive, special or consequential damages or loss of profits; provided, however, that the loss of profits language set forth in this section 7.1 shall not be interpreted to exclude from indemnifiable losses any claim, demand, suit, loss, liability, damage, obligation, payment, cost or expense (including the cost and expense of any action, suit, proceeding, assessment, judgment, settlement or compromise relating thereto and reasonable attorneys' fees and reasonable",Cap On Liability,Low Risk
"disbursements in connection therewith) that would otherwise be included in the definition of indemnifiable losses because they result from a reduction in the profits of owner, diamond state generation holdings, llc, or both, and (b) losses or liabilities incurred by the officers, directors, members, managers, partners, shareholders or affiliates of such party (unless on behalf of owner).",Cap On Liability,Low Risk
"notwithstanding anything to the contrary in this agreement, in no event shall a party be liable to the other party for an aggregate amount in excess of the maximum liability;",Cap On Liability,Low Risk
"if the efficiency bank reaches a balance of less than zero during the warranty period, operator shall reimburse owner for any gas payment shortfall that owner incurs within ten (10) days after owner provides notice to operator of such shortfall amount; provided that operator's cumulative aggregate liability under this section 2.8 plus any payments required to be made by operator under section 2.5(c) shall not exceed an amount equal to (i) one hundred percent (100%) of the aggregate purchase price of all bloom systems in the portfolio during the applicable period and the purchase price under the december 30 bill of sale (inclusive of any amounts paid or for which a pending claim has been made for under the gas payment shortfall under the mespa), less (ii) the aggregate of all amounts paid by operator (or claimed against operator in the case of any claims that are pending at the time of such calculation) with respect to claims under section 2.5(c) hereunder or sections 8.2(b) and 8.3(c) of the mespa.",Cap On Liability,Low Risk
"notwithstanding anything to the contrary provided herein, in no event shall operator be liable under this agreement (including with respect to its obligations related to the facility service warranty, the power performance warranty or warranty specification) for (i) any failure of or damage to the bloom system or (ii) any obligations on the part of operator (including internal rate of return or other financial metrics or any obligations to deliver power to owner or service the bloom system) caused by or arising from (a) owner's (as opposed to operator or operator's affiliate or subcontractor acting as operator under this agreement) failure to properly protect the bloom systems from vandalism or other third- party's actions or omissions, (b) owner's (as opposed to operator or operator's affiliate or subcontractor acting as operator under this agreement) failure to use the specified input fuel; (c) owner's (as opposed to operator or operator's affiliate or subcontractor acting as operator under this agreement) removal of any safety devices, (d) force majeure events, (e) installation, operation, repair or modification of the bloom systems by anyone other than operator or operator's authorized agents or owner's operator acting pursuant to a operating and maintenance agreement provided such operator is acting in accordance with prudent electrical practices and information or materials supplied by operator or its affiliates, or (f) any defect in construction materials or workmanship of the bof or any deficiency in design of the bof by be, provided that the exclusions in this clause (f) shall not extend to any warranty claim to the extent caused by or arising from (1) any defect in construction materials or workmanship of the bof or (2) any deficiency in design of the bof by be, in each case during the period while the mespa section 8.2(b) warranty is in effect.",Cap On Liability,Low Risk
"in the case of a claim relating to the power performance warranty for a one-year power performance warranty period, upon receipt of such notice and verification that such one-year power performance warranty is applicable, operator shall make a payment to owner in an amount to be calculated pursuant to section 2.6; provided that the cumulative aggregate amount of operator's liability for all claims under this section 2.5(c) shall not exceed [***] of the aggregate purchase price of all bloom systems in the portfolio during the applicable period and the purchase price under the december 30 bill of sale (inclusive of any amounts paid or for which a pending claim has been made under the power performance warranty or the section 8.2(b) warranty, as applicable, under the mespa).",Cap On Liability,Low Risk
"""warranty period"" means, (i) for each bloom system, the period beginning on the day following the date that the ""warranty period"" for such bloom system under and as defined in the mespa has expired and ending on the twenty-first (21st) anniversary of the date of commencement of operations for such bloom system and (ii) for the bof, the period beginning on the day following the date that the section 8.2(b) warranty for such bof has expired and ending on the twenty-first (21st) anniversary of such starting date.",Warranty Duration,Low Risk
"in the case of a claim relating to the power performance warranty for a one-year power performance warranty period, upon receipt of such notice and verification that such one-year power performance warranty is applicable, operator shall make a payment to owner in an amount to be calculated pursuant to section 2.6; provided that the cumulative aggregate amount of operator's liability for all claims under this section 2.5(c) shall not exceed [***] of the aggregate purchase price of all bloom systems in the portfolio during the applicable period and the purchase price under the december 30 bill of sale (inclusive of any amounts paid or for which a pending claim has been made under the power performance warranty or the section 8.2(b) warranty, as applicable, under the mespa).",Warranty Duration,Low Risk
"at all times during the term without cost to owner, operator shall maintain in force the following insurance, which insurance shall not be subject to cancellation, termination or other material adverse changes unless the insurer delivers to owner",Insurance,Low Risk
"written notice of the cancellation, termination or change at least thirty (30) days in advance of the effective date of the cancellation, termination or material adverse change: (a) worker's compensation insurance as required by the laws of the state where operator's facilities are located; (b) employer's liability insurance with limits not less than one million dollars ($1,000,000); and (c) commercial general liability insurance, including bodily injury and property damage liability including premises operations, contractual liability endorsements, products liability and completed operations with limits not less than five million dollars ($5,000,000).",Insurance,Low Risk
"co-branding, marketing and distribution agreement",Document Name,Low Risk
audible inc.,Parties,Low Risk
"amazon.com commerce services, inc.",Parties,Low Risk
acsi,Parties,Low Risk
company,Parties,Low Risk
"acsi and company are sometimes referred to collectively herein as the ""parties"" and individually as a ""party.""",Parties,Low Risk
"january 30, 2000",Agreement Date,Low Risk
"january 30, 2000",Effective Date,Low Risk
"the term of this agreement will commence on the effective date, and unless earlier terminated as provided elsewhere in this agreement, will end automatically upon the end of year 3.",Expiration Date,Low Risk
"this agreement will be interpreted, construed and enforced in accordance with the laws of the state of washington, without reference to its choice of laws rules.",Governing Law,Low Risk
"""acsi competitor"" means, collectively, such persons and entities as the parties may agree upon from time to time. acsi may update any agreed-upon list of acsi competitors no more frequently than once per quarter by written notice, provided that: (a) the number of entities specified on such list shall at no time [***]; (b) any entities added to such list must be [***]; and (c) no addition of any acsi competitor to such list shall require company to breach any contractual or legal obligation to such acsi competitor by which company is bound as of the date of such addition.",Non-Compete,Low Risk
"the parties will issue a joint press release promptly upon concluding advertising. this agreement, which press release shall be subject to the party's mutual approval, which shall in any event state that company is the exclusive provider on the acsi site of premium spoken-word audio product for download or streaming over the world wide web.",Exclusivity,Low Risk
"during the term, [***], acsi will not offer or sell through the acsi site, or authorize any third party to sell through the acsi site, any exclusive spoken-word audio products; [***].",Exclusivity,Low Risk
in the event that: (a) company at any time engages in,Non-Disparagement,Low Risk
other behavior that is materially harming the goodwill or reputation of acsi or its affiliates or the acsi site;,Non-Disparagement,Low Risk
"the same shall be deemed a material breach of this agreement which is not susceptible to cure, and acsi shall be entitled to terminate this agreement upon written notice to company.",Non-Disparagement,Low Risk
"acsi may assign this agreement to (a) any corporation or other entity resulting from any merger, consolidation, or other reorganization involving acsi, (b) any of its affiliates, or (c) any person or entity to which it transfers all or",Anti-Assignment,High Risk
substantially all of its assets relating to the spoken-word audio sub-section; provided that the assignee agrees in writing to be bound by all the terms and conditions of this agreement.,Anti-Assignment,High Risk
"company may not assign or delegate this agreement or any of its rights or obligations hereunder, whether voluntarily, involuntarily, by operation of law or otherwise, without acsi's prior written consent, which consent shall not be unreasonably withheld or delayed, except that company may assign this agreement to any direct or indirect wholly owned subsidiary in connection with any corporate reorganization undertaken for the purpose of minimizing the tax liability of company and its affiliates or other bona fide corporate purpose or in connection with any change of control [***]",Anti-Assignment,High Risk
"in consideration for the intangible rights granted hereunder, for each year in which the spoken-word audio sub-section (including the mirror company site) generates revenue of at [***] (the ""revenue threshold""), company will pay acsi a royalty equal to [***] of all revenues generated from the spoken-word audio sub-section (including, for the avoidance of doubt, any revenue received by company from any company customer who first links to the mirror company site from the spoken-word audio sub-section and who later accesses the company site directly) in excess of revenue threshold (the ""royalties"") for each year of the term.",Revenue/Profit Sharing,Low Risk
"allocation of payments. the parties acknowledge and agree that the annual fees shall be allocated as consideration for advertising services and intangible rights granted by acsi to company hereunder, including the rights granted under section 2.1 [spoken-word audio sub-section] and section 4.2 [acsi site links] and the licenses granted to company under section 6, as follows: year advertising services intangible rights ---------------------------------------------------------------------------------------------- 1 [***] [***] ---------------------------------------------------------------------------------------------- 2 [***] [***] ---------------------------------------------------------------------------------------------- 3 [***] [***] ----------------------------------------------------------------------------------------------",Revenue/Profit Sharing,Low Risk
"during each year of the term following the launch date, acsi (or one of its affiliates) will deliver amazon.com-branded e-mails and amazon.com-branded in-product advertising materials related to the spoken-word audio sub-section to selected members of the amazon.com customer base in at least the following quantities: --------------------------------------------------------------------------------------------- year email product shipment ----------------------------- -------------------------- ------------------------------ --------------------------------------------------------------------------------------------- 1 [***] [***] --------------------------------------------------------------------------------------------- 2 [***] [***] --------------------------------------------------------------------------------------------- 3 [***] [***] ---------------------------------------------------------------------------------------------",Minimum Commitment,High Risk
"to the maximum extent permitted by applicable laws, any acsi derivative works or company derivative works, to the extent created by or for the other party, shall be deemed ""works made for hire"", and all right, title and interest therein shall vest in acsi (in the case of acsi derivative works) or company (in the case of company derivative works) immediately upon creation thereof.",Ip Ownership Assignment,High Risk
"to the extent that any such acsi derivative works or company derivative works are not ""works made for hire"", company hereby assigns and agrees to assign to acsi (or such of its affiliates as it may designate) all right, title and interest to all acsi derivative works and all associated intellectual property rights, and acsi hereby assigns and agrees to assign to company (or such of its affiliates as it may designate) all right, title and interest in and to all company derivative works and all associated intellectual property rights. each party shall take, at the other party's expense, any actions (including, without limitation, execution and delivery of affidavits and other documents) reasonably requested by such other party to effect, perfect or confirm its or its designee's ownership rights as set forth in this section 6.1.3 [ownership].",Ip Ownership Assignment,High Risk
"derivative works, on the one hand, and/or company existing intellectual property, company future intellectual property and/or company derivative works, on the other hand; or (b) include or incorporate no acsi existing intellectual property or acsi",Joint Ip Ownership,Low Risk
"without limiting the generality of the foregoing, either party may, without any duty to account to the other (including, without limitation, any duty to pay, share or account for any royalties): (a) make, manufacture, assemble, produce, market, sell, distribute, transfer, use, license and otherwise commercially and non-commercially exploit and deal with the joint works; provided, that neither party shall seek or obtain any",Joint Ip Ownership,Low Risk
"""joint work"" means any content, data, urls, domain names, technology, software, code, user interfaces, ""look and feel"" or other items which are invented, created, developed or first reduced to practice jointly by the parties after the effective date, are protected or protectable by any intellectual property rights and either: (a) include or incorporate both acsi existing intellectual property, acsi future intellectual property and/or acsi",Joint Ip Ownership,Low Risk
"site functionality or technology, software, code, user interfaces or ""look and feel"" related thereto or incorporated therein, such items shall be deemed acsi derivative works in their entirety and not joint works or company intellectual property.",Joint Ip Ownership,Low Risk
"to the extent that any joint works are created in the course of performance of this agreement, each party shall own a joint, equal and undivided ownership interest in and to such joint works and the associated intellectual property rights, with no duty on the part of either party to account to the other with respect to its use and exploitation of the same.",Joint Ip Ownership,Low Risk
"registration of any intellectual property rights associated with the joint works without the other party's prior written consent; (b) make, manufacture, assemble, produce, market, sell, distribute, transfer, use, license, seek and obtain registrations of intellectual property rights (subject to paragraph (a) above) and otherwise commercially and non-commercially exploit and deal with derivative works of any joint works created by or for such party, whether or not competitive with any items created by or for the other party; and (c) authorize any third party to take any action described in (a) or (b) above.",Joint Ip Ownership,Low Risk
"acsi hereby grants to company, during the term, a non- exclusive, non-transferable (except in accordance with section 11.7 [assignment]) license, which company may sublicense only to its affiliates, to use the acsi intellectual property supplied by acsi to company as is reasonably necessary to perform its obligations under this agreement; provided, however, that company shall not use acsi's trademarks, including in any advertising, without acsi's prior written consent, unless such use conforms to a written trademark use policy previously furnished by acsi to company and not subsequently modified or revoked.",License Grant,Low Risk
"company hereby grants to acsi, during the term, a non-exclusive, non-transferable (except in accordance with section 11.7 [assignment]) license, which acsi may sublicense only to its affiliates, to use the company intellectual property supplied by company to acsi as is reasonably necessary to perform its obligations under this agreement; provided, however, that acsi shall not use company's trademarks, including in any advertising, without company's prior written consent, unless such use conforms to a written trademark use policy previously furnished by company to acsi and not subsequently modified or revoked.",License Grant,Low Risk
"acsi hereby grants to company, during the term, a non- exclusive, non-transferable (except in accordance with section 11.7 [assignment]) license, which company may sublicense only to its affiliates, to use the acsi intellectual property supplied by acsi to company as is reasonably necessary to perform its obligations under this agreement; provided, however, that company shall not use acsi's trademarks, including in any advertising, without acsi's prior written consent, unless such use conforms to a written trademark use policy previously furnished by acsi to company and not subsequently modified or revoked.",Non-Transferable License,Low Risk
"company hereby grants to acsi, during the term, a non-exclusive, non-transferable (except in accordance with section 11.7 [assignment]) license, which acsi may sublicense only to its affiliates, to use the company intellectual property supplied by company to acsi as is reasonably necessary to perform its obligations under this agreement; provided, however, that acsi shall not use company's trademarks, including in any advertising, without company's prior written consent, unless such use conforms to a written trademark use policy previously furnished by company to acsi and not subsequently modified or revoked.",Non-Transferable License,Low Risk
"upon any termination or expiration of the term the parties will cooperate in good faith to promote a smooth customer transition, and in any event, company will, at acsi's option, continue to operate the mirror company site and offer spoken-word audio products through the spoken-word audio sub-section in accordance with the terms of this agreement for a period of up to six (6) months following such termination.",Post-Termination Services,Low Risk
the auditing party agrees that any information learned or disclosed by its auditor in connection with such audit is confidential information of the audited party.,Audit Rights,Low Risk
"accounting firm selected by the auditing party and reasonably acceptable to the audited party to audit such books and records at the audited party's premises to the extent necessary to verify the audited party's compliance or non-compliance with the provisions of this section 9 (or, in the case of company, section 5.4 [royalties]); provided, that: (a) any such audit is conducted during normal business hours and in a manner designed to not unreasonably interfere with the audited party's ordinary business operations; (b) audits may not occur more frequently than once every twelve (12) months; and (c) each such audit may only cover the period commencing after the period covered by the last audit conducted pursuant to this section, if any.",Audit Rights,Low Risk
